X$DIAG_VIPS_FILE_COPY_LOG|
X$DIAG_VIPS_FILE_METADATA|
X$DIAG_VIPS_PACKAGE_FILE|
X$DIAG_VIPS_PACKAGE_HISTORY|
X$DIAG_VIPS_PACKAGE_MAIN_INT|
X$DIAG_VIPS_PACKAGE_SIZE|
X$DIAG_VIPS_PKG_FILE|
X$DIAG_VIPS_PKG_INC_CAND|
X$DIAG_VIPS_PKG_INC_DTL|
X$DIAG_VIPS_PKG_INC_DTL1|
X$DIAG_VIPS_PKG_MAIN_PROBLEM|
X$DIAG_VNOT_EXIST_INCIDENT|
X$DIAG_VPDB_PROBLEM|
X$DIAG_VPROBLEM|
X$DIAG_VPROBLEM1|
X$DIAG_VPROBLEM2|
X$DIAG_VPROBLEM_BUCKET|
X$DIAG_VPROBLEM_BUCKET1|
X$DIAG_VPROBLEM_BUCKET_COUNT|
X$DIAG_VPROBLEM_INT|
X$DIAG_VPROBLEM_LASTINC|
X$DIAG_VSHOWCATVIEW|
X$DIAG_VSHOWINCB|
X$DIAG_VSHOWINCB_I|
X$DIAG_VTEST_EXISTS|
X$DIAG_V_ACTINC|
X$DIAG_V_ACTPROB|
X$DIAG_V_INCCOUNT|
X$DIAG_V_INCFCOUNT|
X$DIAG_V_INC_METER_INFO_PROB|
X$DIAG_V_IPSPRBCNT|
X$DIAG_V_IPSPRBCNT1|
X$DIAG_V_NFCINC|
X$DIAG_V_SWPERRCOUNT|
X$DIR|directory. directory path for directory objects
X$DNFS_CHANNELS|direct nfs channels
X$DNFS_FILES|direct nfs files
X$DNFS_HIST|direct nfs history
X$DNFS_META|direct nfs metadata
X$DNFS_SERVERS|direct nfs servers
X$DNFS_STATS|direct nfs statistics
X$DRA_FAILURE|data recovery advisor failures
X$DRA_FAILURE_CHECK|data recovery advisor failure check
X$DRA_FAILURE_CHECK_MAP|data recovery advisor failure check map
X$DRA_FAILURE_PARAM|data recovery advisor failure parameters
X$DRA_FAILURE_PARENT_MAP|data recovery advisor failure parent map
X$DRA_FAILURE_REPAIR|data recovery advisor failure repair
X$DRA_FAILURE_REPAIR_MAP|data recovery advisor failure repair map
X$DRA_REPAIR|data recovery advisor repair
X$DRA_REPAIR_PARAM|data recovery advisor repair parameters
X$DRC|dataguard (broker) running configuration
X$DRM_HISTORY|dynamic remastering history
X$DRM_HISTORY_STATS|dynamic remastering history statistics
X$DRM_WAIT_STATS|dynamic remastering wait statistics
X$DUAL|dual
X$DURABLE_SHARDED_SUBS|durable shared subscribers
X$ESTIMATED_MTTR|estimated mean time to recover
X$GCRACTIONS|global conflict resolution actions
X$GCRLOG|global conflict resolution log
X$GCRMETRICS|global conflict resolution metrics
X$GCRSTATUS|global conflict resolution status
X$GIMSA|
X$GLOBALCONTEXT|global context
X$GSMREGIONS|global service manager regions
X$GWMRAFF|
X$HEATMAPSEGMENT|heat map segment
X$HEATMAPSEGMENT1|heat map segment
X$HOFP|heterogeneous (services) open foreign (datastore) parameters
X$HS_SESSION|heterogeneous services sessions
X$IEE|
X$IEE_CONDITION|
X$IEE_ORPIECE|
X$IMCSEGEXTMAP|in-memory column (store) segment extent map
X$IMCSEGMENTS|in-memory column (store) segments
X$IMCTBSEXTMAP|in-memory column (store) tablespace extent map
X$IMHMSEG|in-memory heatmap segment
X$IMHMSEG1|in-memory heatmap segment
X$INSTANCE_CACHE_TRANSFER|instance cache transfer
X$IPCOR_TOPO_DOMAIN|inter process call OR(?) topology domain
X$IPCOR_TOPO_NDEV|inter process call OR(?) topology named devices
X$IR_MANUAL_OPTION|instance recovery (advisor?) manual option
X$IR_REPAIR_OPTION|instance recovery (advisor?) repair option
X$IR_REPAIR_STEP|instance recovery (advisor?) repair step
X$IR_RS_PARAM|instance recovery (advisor?) repair step parameters
X$IR_WF_PARAM|instance recovery (advisor?) working failure (set) parameters
X$IR_WORKING_FAILURE_SET|instance recovery (advisor?) working failure set
X$IR_WORKING_REPAIR_SET|instacne recovery (advisor?) working repair set
X$IR_WR_PARAM|instacne recovery (advisor?) working repair (set) parameters
X$JOXFM|
X$JOXFT|
X$JSKJOBQ|job scheduling kernel job queue
X$JSKMIMMD|job scheduling kernel in-memory MD
X$JSKMIMRT|job scheduling kernel in-memory RT
X$JSKSLV|job scheduling kernel slaves
X$K2GTE|kernel 2-phase commit global transaction entry
X$K2GTE2|kernel 2-phase commit global transaction entry
X$KAUVRSTAT|
X$KBRPSTAT|kernel backup recovery process statistics
X$KCBBES|kernel cache buffer buffer eviction statistics?
X$KCBBF|kernel cache buffer buffer handles
X$KCBBHS|
X$KCBDBK|kernel cache buffer database key info
X$KCBDWOBJ|kernel cache buffer datawarehouse objects
X$KCBDWS|kernel cache buffers working descriptors
X$KCBFCIO|kernel cache buffer flashcache io (statistics)
X$KCBFWAIT|kernel cache buffers file wait
X$KCBINSTVIEW|kernel cache buffers instance view. shows if full caching is enabled
