Ldi|date/time conversion
dbkripds_downgrade_schema|DBMS_ADR.DOWNGRADE_SCHEMA
dbkripms_migrate_schema|DBMS_ADR.MIGRATE_SCHEMA
dbkriprs_recover_schema|DBMS_ADR.RECOVER_SCHEMA
dbkt|RDBMS UTS tracefile
del|delete
delexe|execute
delrow|row procedure used by KXRD to delete or lock a row
dgliaio|DBMS_INTERNAL_LOG_STDBY.APPLY_IS_OFF
dglias|DBMS_LOGSTDBY.IS_APPLY_SERVER
dglibld|DBMS_INTERNAL_LOG_STDBY.BUILD
dglicdscn|DBMS_INTERNAL_LOG_STDBY.CAPTURE_SCN
dglicfs|DBMS_INTERNAL_LOG_STDBY.CREATE_FUTURE_SESSION
dgliclin|DBMS_INTERNAL_LOG_STDBY.CLEAR_LOGICAL_INSTANTIATION
dglidfs|DBMS_INTERNAL_LOG_STDBY.DESTROY_FUTURE_SESSION
dglidil|DBMS_LOGSTDBY.DB_IS_LOGSTDBY
dglidlfp|DBMS_INTERNAL_LOG_STDBY.PURGE_LOGS
dglidlr|DBMS_INTERNAL_LOG_STDBY.DISABLE_LOGICAL_REPLICATION
dglidxd|DBMS_INTERNAL_LOG_STDBY.DUMP_XDAT
dgliechgvec|DBMS_INTERNAL_LOG_STDBY.EDS_EVAL_CHANGE_VECTOR
dglielr|DBMS_INTERNAL_LOG_STDBY.ENABLE_LOGICAL_REPLICATION
dglieuc|DBMS_INTERNAL_LOG_STDBY.EDS_USER_CURSOR
dglifgbs|DBMS_INTERNAL_LOG_STDBY.FAL_REQ_BY_SEQ
dglifsrl|DBMS_INTERNAL_LOG_STDBY.FLUSH_SRLS
dgligbchk|DBMS_INTERNAL_LOG_STDBY.GUARD_BYPASS_CHK
dgligboffi|DBMS_INTERNAL_LOG_STDBY.GUARD_PASS_OFF
dgligboni|DBMS_INTERNAL_LOG_STDBY.GUARD_BYPASS_ON
dgligchk|DBMS_INTERNAL_LOG_STDBY.GUARD_CHECK
dgligss|DBMS_INTERNAL_LOG_STDBY.GET_SAFE_SCN
dglilm|DBMS_INTERNAL_LOG_STDBY.LOCK_LSBY_META
dglilmc|DBMS_INTERNAL_LOG_STDBY.UNLOCK_LSBY_CON
dglilmd|DBMS_INTERNAL_LOG_STDBY.LOCK_LSBY_META
dglirl|DBMS_INTERNAL_LOG_STDBY.REPAIR_LSBY_INTERNAL
dglisd_nowait|DBMS_INTERNAL_LOG_STDBY.APPLY_STOP_NOWAIT
dglisgnr|DBMS_INTERNAL_LOG_STDBY.SET_GUARD_NOT_READY
dglislin|DBMS_INTERNAL_LOG_STDBY.SET_LOGICAL_INSTANTIATION
dgliudo|DBMS_INTERNAL_LOG_STDBY.UPDATE_DYNAMIC_LSBY_OPTION
dgliulm|DBMS_INTERNAL_LOG_STDBY.UNLOCK_LSBY_META
dglius|DBMS_INTERNAL_LOG_STDBY.SEQUENCE_UPDATE
dglr_build_main|DBMS_ROLLING.BUILD_PLAN
dglr_destroy_main|DBMS_ROLLING.DESTROY_PLAN
dglr_finish_main|DBMS_ROLLING.FINISH_PLAN
dglr_init_main|DMBS_ROLLING.INIT_PLAN
dglr_rollback_main|DBMS_ROLLING.ROLLBACK_PLAN
dglr_set_main|DBMS_ROLLING.SET_PARAMETER
dglr_set_main_ns|(additional definition?)
dglr_set_upg_flags|DBMS_INTERNAL_ROLLING.SET_UPGRADE_FLAGS
dglr_start_main|DBMS_ROLLING.START_PLAN
dglr_switch_main|DBMS_ROLLING.SWITCHOVER
di|PLSQL apps
dmkglcre|DMP_SEC.KGL_CREATE_LIB
dmutil|DBMS_DATA_MINING utilities
dmutilECol|DBMS_DATA_MINING_TRANSFORM.EXPR_COL_LIB
dmutilEMrg|DBMS_DATA_MINING_TRANSFORM.EXPR_MERGE_LIB
dmutilFeat|ODM_MODEL_UTIL.DM_FEATURE
dmutilTxtTokensBfile|ODM_UTIL.DM_TXT_TOKENS
dmutilTxtTokensBlob|ODM_UTIL.DM_TXT_TOKENS
dmutilTxtTokensClob|ODM_UTIL.DM_TXT_TOKENS
dmutilTxtTokensStr|ODM_UTIL.DM_TXT_TOKENS
dr|text
dre|index
drex|query
drg|index
drn|index
drl|index
drp|query
drs|index
drw|query
dry|query
dsy|drop synonym
dtb|drop table
dteerr|date error handler
err|error recovery
erroep|oracle error position
eva|evaluate
evadid|date: internal date to date format
evadis|date: internal date to string
evadsd|date string to date
evaopn2|operand
evapls|plsql function
evareo|relational operator
evaval|val
evaxl|vector translate
expcop|evaluate callback operator list
expeal|evaluate its argument AND list
expepr|evaluate the argument predicate
gslcsq_add_s|DBMS_LDAP_API_FFI.LDAP_ADD_S
gslcsq_authenticate_user|DBMS_LDAP_API_FFI.ORA_LDAP_AUTHENTICATE_USER
gslcsq_authenticate_user_ext|DBMS_LDAP_API_FFI.ORA_LDAP_AUTHENTICATE_USER_EXT
gslcsq_ber_free|DBMS_LDAP_API_FFI.BER_FREE
gslcsq_bind_s|DBMS_LDAP_API_FFI.LDAP_BIND_S
gslcsq_check_grp_membership|DBMS_LDAP_API_FFI.ORA_LDAP_CHECK_GRP_MEMBERSHIP
gslcsq_compare_s|DBMS_LDAP_API_FFI.LDAP_COMPARE_S
gslcsq_count_entries|DBMS_LDAP_API_FFI.LDAP_COUNT_ENTRIES
gslcsq_create_grp_handle|DBMS_LDAP_API_FFI.ORA_LDAP_CREATE_GRP_HANDLE
gslcsq_create_mod_array|DBMS_LDAP_API_FFI.CREATE_MOD_ARRAY
gslcsq_create_mod_pset|DBMS_LDAP_API_FFI.ORA_LDAP_CREATE_MOD_PSET
gslcsq_create_srv_handle|DBMS_LDAP_API_FFI.ORA_LDAP_CREATE_SRV_HANDLE
gslcsq_create_sub_handle|DBMS_LDAP_API_FFI.ORA_LDAP_CREATE_SUB_HANDLE
gslcsq_create_user_handle|DBMS_LDAP_API_FFI.ORA_LDAP_CREATE_USER_HANDLE
gslcsq_check_user_scription|DBMS_LDAP_API_FFI.ORA_LDAP_CHECK_USER_SCRIPTION
gslcsq_delete_s|DBMS_LDAP_API_FFI.LDAP_DELETE_S
gslcsq_err2string|DBMS_LDAP_API_FFI.LDAP_ERR2STRING
gslcsq_explode_dn|DBMS_LDAP_API_FFI.LDAP_EXPLODE_DN
gslcsq_first_attr|DBMS_LDAP_API_FFI.LDAP_FIRST_ATTRIBUTE
gslcsq_first_entry|DBMS_LDAP_API_FFI.LDAP_FIRST_ENTRY
gslcsq_free_handle|DBMS_LDAP_API_FFI.ORA_LDAP_FREE_HANDLE
gslcsq_free_mod_array|DBMS_LDAP_API_FFI.FREE_MOD_ARRAY
gslcsq_free_mod_pset|DBMS_LDAP_API_FFI.ORA_LDAP_FREE_MOD_PSET
gslcsq_free_pset_coll|DBMS_LDAP_API_FFI.ORA_LDAP_FREE_PSET_COLL
gslcsq_get_avail_srvs|DBMS_LDAP_API_FFI.ORA_LDAP_GET_AVAIL_SRVS
gslcsq_get_dbcharset_name|DBMS_LDAP_API_FFI.LDAP_GET_DBCHARSET_NAME
gslcsq_get_dn|DBMS_LDAP_API_FFI.LDAP_GET_DN
gslcsq_get_grp_dn|DBMS_LDAP_API_FFI.ORA_LDAP_GET_GRP_DN
gslcsq_get_grp_membership|DBMS_LDAP_API_FFI.ORA_LDAP_GET_GRP_MEMBERSHIP
gslcsq_get_grp_props|DBMS_LDAP_API_FFI.ORA_LDAP_GET_GRP_PROPS
gslcsq_get_prop_names|DBMS_LDAP_API_FFI.ORA_LDAP_GET_PROP_NAMES
