Ldi|date/time conversion
kewrpcs_create_snapshot|DBMS_WORKLOAD_REPOSITORY.CREATE_SNAPSHOT_CALLOUT
kewrpcstgs_create_stg_schema|DBMS_SWRF_INTERNAL.CREATE_STAGING_SCHEMA
kewrpdbn_dropbl_byname|DBMS_WORKLOAD_REPOSITORY.DROP_BASELINE
kewrpdbt_drop_bl_template|DBMS_WORKLOAD_REPOSITORY.DROP_BASELINE_TEMPLATE
kewrpdsr_drop_snapshot_range|DBMS_WORKLOAD_REPOSITORY.DROP_SNAPSHOT_RANGE
kewrpdtr_dump_trace|DBMS_SWRF_INTERNAL.DUMP_TRACE
kewrpms_modify_settings|DBMS_WORKLOAD_REPOSITORY.MODIFY_SNAPSETTINGS_CALLOUT
kewrpmws_modbl_window_size|DBMS_WORKLOAD_REPOSITORY.MODIFY_BASELINE_WINDOW_SIZE
kewrprb_rename_baseline|DBMS_WORKLOAD_REPOSITORY.RENAME_BASELINE
kewrprcs_remove_colored_sql|DBMS_WORKLOAD_REPOSITORY.REMOVE_COLORED_SQL
kewrprdb_register_database|DBMS_SWRF_INTERNAL.REGISTER_DBID_CALLOUT
kewrprmdb_register_multidb|DBMS_SWRF_INTERNAL.REGISTER_MULTIDB_CALLOUT
kewrprstdb_reset_database|DBMS_SWRF_INTERNAL.RESET_AWR_CALLOUT
kewrprstgs_remove_stg_schema|DBMS_SWRF_INTERNAL.REMOVE_STAGING_SCHEMA
kewrprwc_remove_wr_control|DBMS_SWRF_INTERNAL.REMOVE_WR_CONTROL
kewrpulc_updbl_last_computed|DBMS_SWRF_INTERNAL.BLUPDATE_LAST_TIME_COMPUTED
kewrpurdb_unregister_database|DBMS_SWRF_INTERNAL.UNREGISTER_DATABASE
kewrpurmdb_unregister_multidb|DBMS_SWRF_INTERNAL.UNREGISTER_REMOTE_DATABASE
kewrrsr_reserve_snap_range|DBMS_SWRF_INTERNAL.RESERVE_SNAP_RANGE_CALLOUT
kewrst2si_source_t2s_intent|DBMS_SWRF_INTERNAL.T2S_SNAP_INTENT_NFY
kewrst2srn_source_t2s_reg_nfy|DBMS_SWRF_INTERNAL.T2S_REGISTER_NFY
kewrst2ss_source_t2s_snap|DBMS_SWRF_INTERNAL.AWR_FLUSH_T2SS_SNAP_CALLOUT
kewrudf_update_datafile|DBMS_SWRF_INTERNAL.UPDATE_DATAFILE
kewrusr_unreserve_snap_range|DBMS_SWRF_INTERNAL.UNRESERVE_SNAP_RANGE_CALLOUT
kewrwfao_wait_for_awr_open|DBMS_SWRF_INTERNAL.WAIT_FOR_AWR_OPEN_CO
kewrf|flush
kewrpmvs_modify_view_settings|DBMS_MANAGEMENT_BOOTSTRAP.MODIFY_AWR_VIEW_SETTINGS_CO
kewrps|purge
kews|statistics
kews_cln_timestate|clean timestate
kews_sqlst_flush|flush cursor statistics
kews_update_wait_time|update wait time
kewu|utilities
kex|EM express
kf|automatic storage management
kfa|alias operations
kfc|cache
kfcl|lock
kfd|disk
kfdp|PST
kfds|staleness registry and resync
kfdva|virtual ATB
kfdx|exadata interface
kfe|attributes
kff|KFF
kffb|metadata block
kffd|metadata directory
kffg|file group
kffm|map header
kffscrub|scrubbing
kfg|diskgroups
kfgb|background
kfia|remote
kfiac|IOServer client
kfias|IOServer
kfio|translation I/O layer
kfioDumpPg|dump routine
kfis|intelligent storage interfaces
kfk|KFK
kfk_dump|dump routine
kfk_dump_iosubsys|io subsystem
kfk_dump_kfkio|KFK IO 
kfkio|IO
kfksubs|subs
kfks|sage (exadata)
kfm|node monitor interface implementation
kfmd|layer for diskgroup registration
kfms|layers support function interface
kfmsInit|initialise group services (>kgxgncin>cssd)
kfn|networking subsystem
kfnb|umbilicus
kfnc|client networking
kfnm|umbilicus
kfnor|KFN orion
kfns|server networking
kfns|umbilicus
kfpkgDG|DBMS_DISKGROUP
kfpkgDGChangeClientCluster|CHANGECLIENTCLUSTER
kfpkgDGCheckFile|CHECKFILE
kfpkgDGCloseFile|CLOSE
kfpkgDGCommitFile|COMMIT
kfpkgDGCreateClientCluster2|CREATECLIENTCLUSTER2
kfpkgDGCreateDir|CREATEDIR
kfpkgDGCreateFile|CREATEFILE
kfpkgDGDelBadfEntry|DELETEBADFENTRY
kfpkgDGDropDir|DROPDIR
kfpkgDGGetFileAttr|GETFILEATTR
kfpkgDGGetFilePhyBlkSize|GETFILEPHYBLKSIZE
kfpkgDGMapAu|MAPAU
kfpkgDGMapBlock|MAPBLOCK
kfpkgDGMapExtent|MAPEXTENT
kfpkgDGMapExtent2|12.2 version
kfpkgDGOpenFile|OPEN
kfpkgDGPatchFile|PATCHFILE
kfpkgDGReadFile|READ
kfpkgDGRemap|REMAP
kfpkgDGResizeFile|RESIZEFILE
kfpkgDGSetSparseParent|SETSPARSEPARENT
kfr|recovery
kftha|transparent high availability
kftr2ah|relative to absolute file number translation with hint
kfv|volume subsystem
kfvsd|background
kfvsu|umbilicus
kfz|zecurity subsystem
kfzp|password file layer
kg|generic
kgbt|btree operations
kgc|compression
kgcc|compress
kgccbuf|buffer
kgccbz2do|bzip2 do apply bzip2 compression
kgccbz2pseudodo|bzip2 pseudo do
kgccdo|do, main compression function
kgccgmtf|generate move to front
kgccm|memory (?)
kgcd|decompress
kgcddo|do, main decompression function
kgce|encryption engine
kgds|vos generic stack trace
kge|error
kgeade|add error onto the error stack
kgeadse|KGE ADd String Internal Error onto the error stack
kgeasi|raise an error on an assertion failure
kgeasnmierr|assert named internal error
kgecrs|check and record O/S error code
kgecxd|context of error driver
kgepop|pop to the current top error frame
kgerem|record error code (with already-formatted message)
kgerinv|record internal named error with va_list
kgerinv_internal|or soft internal named error
kgeriv|record internal error code with va_list
kgesev|signal error code
kgesin|signal a named internal error
kgesinv|signal internal named error with va_list
kgf|ASM
kgfd|io subsystem driver
kgfdvf|Voting file Interface
kgff|direct file io adapter
kgfpm|PATCH repository
kgg|generic lists
kgh|heap manager
kghalf|non-recoverably allocate a freeable chunk of memory
kghalo|main allocation entry point
kghalp|allocate permanent memory
kgherror|internal error routine
kghfnd|find a chunk of memory of at least the minimum size
kghfre|free a chunk of memory
kghfrf|non-recoverably free a freeable chunk of space
kghfrh|free heap. free all the extents allocated in the heap using kghalfrx
kghfrmrg|free a chunk, merge with neighbors if free returns merged chunk
kghfrunp|free unpinned space
kghfrx|free extent
kghgex|get a new extent
kghini|heap initialize
kghnospc|no space available in the heap, signal an error
kghphini|parent heap initialize
kghpmalo|find and return permanent chunk of space
kghsrch|search freelists for a memory chunk
kghstack_alloc|allocate pga memory
kghstack_free|free pga memory
kghx|fixed sized memory
kghxal|allocate shared memory
kgi|instantiation manager
kgicli|close all cursors for an instantiation 
kgidel|delete an instantiation object
kgidlt|delete an instantiation object
kgiscl|state close cursors
kgk|token
kgkp|generic services scheduling policies
kgl|library cache management
kgldd|object handle deallocate
kgldda|a
kgldmp|dump an object
kgldon|depend on an object
kgldpo|depend on an object
kglfnd|find a chunk of at least the minimum size
kglfrunp|ask a client to free unpinned space
kglfrx|free extent (heap unpin)
kglget|get a lock on an object
kglgob|get an objected locked and pinned
kglh|heap management
kglhpd|heap deallocate
kglhup|heap update
kgllkal|lock allocate
kgllkdl|lock delete
kgllkds|lock delete state object
kglllal|lock load allocate
kglobal|object allocate
kglobcl|object clear all tables
kglobf0|object free heap/data block 0 of an object
kglobfr|object free all heaps (except data block 0) of an object
kglobld|object load
kglobpn|object pin heaps and load data pieces
kglpim|pin and load more heaps
kglpin|pin heaps and load data pieces of an object
kglpnal|pin allocate
kglpnc|pin heaps and load data pieces of a cursor object
kglpndl|pin delete
kglr|remote
kglrfcl|reference clear
kglsim|simulator 
kglsscn|scan a loaded set invoking a supplied callback for each element
kglunp|unpin heaps of an object
kgm|inter-language method services
kgmexcb|execution callback
kgmexec|execute
kgmexsc|execute call with SCD (used only by PLSQL)
kgmexch|execute by compilation handle
kgmimio|implementation fro mmethod instantion object
kgmgaicn|generic arguments input conversions
kgmgchd|get compilation handle
kgmtconv|conversion
kgmtimob|image to object (named types)
kgnfs|network file system
kgodm|oracle disk manager
kgs|service
kgsc|cache, session cache for cursors
kgsd|debugging
kgsk|resource manager
kgskbwt|begin wait
kgskchk|check resource state for RM
kgskckcpuswch|check cpu switches
kgskdecr|decrease
kgskdecrstat1|statistics
kgskewt|end wait
kgskewtint|internal
kgskentsch|enter scheduler
kgskexitsch|exit scheduler
kgskmodruncnt|modify run count
kgsklheld|lock held
kgskupdbalance|update balance
kgskuselowthreshold|use low threshold
kgskusedynshares|use dynamic shares
kgskrunnextint|run next int(?)
kgskthbwt|thread begin wait
kgskthewt|thread end wait
kgskthrexit|thread exit
kgss|state object manager
kgstm|time
kgur|recovery
kgx|mutex/communication
kgxDecrement|decrement S mode counter
kgxDecrementExamine|decrement RefCnt and set E mode
kgxEndExamine|clear examine mode
kgxExamine|set examine mode
kgxExclusive|get in X mode
kgxExclusive2Shared|downgrade X to S mode
kgxIncrement|increment S mode counter
kgxIncrementExamine|increment RefCnt and set E mode
kgxShared|get in S mode
kgxSharedExamine|examine
kgxRelease|release
kgxg|node monitor/cluster group services layer
kgxgncin|group membership cssd initiate
khpro|hierarchical profiler
khproanalyze|DBMS_HPROF.KHPROANALYZE
khprostart|DBMS_HPROF.KHPROSTART
khprostop|DBMS_HPROF.KHPROSTOP
kj|lock management
kjac|application continuity 
kjac_11203_monitor_txn_pls|DBMS_APP_CONT_PRVT.MONITOR_TXN
kjac_clr_failpoint_pls|DBMS_TG_DBG.I_CLEAR_FAILPOINT
kjac_force_outcome_pls|DBMS_APP_CONT.INT_FORCE_OUTCOME
kjac_set_failpoint_pls|DBMS_TG_DBG.I_SET_FAILPOINT
kjac_set_session_drainable_pls|DBMS_TG_DBG.I_SET_SESSION_DRAINABLE
kjbcr|consistent read
kjbcropen|open LE lock
kjbcrconvert|convert LE lock
kjb|global cache service
kjbl|lock table
kjbr|resource table
kjc|communication
kjci|cross instance call
kjctr_pbmsg|process batch message
kjctr_rksxp|read message from KSXP service
kjctr_watq|read messages from wait queue
kjctrcv|receive messages
kjcts_dmpbmsg|dump batch message content
kjctsrmg|receive a vector of messages
kjcvcvd|deadlock detection routines
kjfm|heartbeat monitoring
kjfz|DLM-client freeze/unfreeze
kjhn_get_alert_severity_plsql|DBMS_HA_ALERTS.GET_SEVERITY
kjhn_get_db_unique_name_plsql|DBMS_HA_ALERTS.GET_DB_UNIQUE_NAME
kjhn_get_db_domain_plsql|DBMS_HA_ALERTS.GET_DB_DOMAIN
kjhn_get_cardinality_plsql|DBMS_HA_ALERTS.GET_CARDINALITY
kjhn_get_event_time_plsql|DBMS_HA_ALERTS.GET_EVENT_TIME0
kjhn_get_host_plsql|DBMS_HA_ALERTS.GET_HOST
kjhn_get_incarnation_plsql|DBMS_HA_ALERTS.GET_INCARNATION
kjhn_get_instance_plsql|DBMS_HA_ALERTS.GET_INSTANCE
kjhn_get_reason_plsql|DBMS_HA_ALERTS.GET_REASON
kjhn_get_service_plsql|DBMS_HA_ALERTS.GET_SERVICE
kjhn_get_version_plsql|DBMS_HA_ALERTS.GET_VERSION
kjk|RAC kernel accelerator
kjlt|lock table
kjm|RAC multiple LMS
kjmsm|main action callback (LMS main loop)
kjoe|DLM omni enqueue service
kjpt|processes
kjpsod|disconnect from DLM
kjr|resource table
kjsc|RAC global stats
kjskcvl|main cache convert routine
kju|global enqueue service
kjual|allocate, connection to dlm
kjucv|asynchronous convert a lock
kjucvl|convert a lock
kjuscl|synchronous close a lock
kjuscv|synchronous convert a lock
kjusuc|synchronous open and convert a lock
kjuuc|asynchronous open and convert a lock
kjxg|cluster group services
kjxgr|instance membership recovery
kjz|DIAG
kjzc|communication layer
kjzd|main layer
kjzdattdlm|attach to distributed lock manager
kjzf|flow control layer
kjzg|group services layer
kjzh|API layer
kjzm|membership layer
kjznpsp|DBMS_HANG_MANAGER.SET_PARAM_INTERNAL
kk|compile
kkae_reset_edition_always_icd|DBMS_SESSION.KKAE_RESET_EDITION_ALWAYS_ICD USE_DEFAULT_EDITION_ALWAYS
kkae_reset_edition_icd|DBMS_SESSION.KKAE_RESET_EDITION_ICD USE_DEFAULT_EDITION_DEFERRED
kkae_set_edition_icd|DBMS_SESSION.KKAE_SET_EDITION_ICD SET_EDITION_DEFERRED
kkb|table
kkbn|nested table
kkbndrp|drop storage tables for nested table columns
kkbnftn|format table for nested table
kkbl|lob
kkbo|object
kkcn|streams advanaced queuing 
kkcnRegApply|DBMS_AQ.REGOP_APPLY
kkcne|streams advanaced queuing notitication
kkdc|data check (constraints)
kkdcacr|get all check and referential constrains
kkdcico|insert constraint definition
kkdl|dictionary lookup
kkdlacd|get all column definitions
kkdo|OBJECTS dictionary
kkdoloi|load objects related information
kke|cost engine
kkeapr|analyze predicates for optimization returns stat ptr
kkecdn|determine cardinality of a table given single table predicates
kkecpst|create copy of column statistics in compile time memory
kkegvl|get a value from an opndef and normalize it for cost
kkepsl|selectivity of a single predicate
kkest|statistics
kkevcs|set view column stats for underlying column
kkfd|fast dataflow (PQ DFO)
kkfi|optimizer virtual column/indexes
kkfr|fast rowid (PQ)
kkhf|hash join file and memory management
kkhr|hash join row management
kkj|job queue
kkjbgd|DBMS_JOB.KKJBGD BACKGROUND_PROCESS
kkjdva|DBMS_IJOB.KKJDVA 
kkjexi|DBMS_IJOB.KKJEXI
kkjges|DBMS_IJOB.KKJGES
kkjp|package
kkjpru|DBMS_IJOB.KKJPRU
kkjses|DBMS_IJOB.KKJSES
kkjspc|DBMS_IJOB.KKJSPC
kkkibgnsqlblk|DBMS_RMIN.RM$_BGN_SQLBLK
kkkicalibrateio|DBMS_RMIN_SYS.RM$_CALIBRATE_IO
kkkicancelsql|DBMS_SESSION.KKKICANCELSQL
kkkiclrparea|DBMS_RMIN_SYS.RM$_CLRPAREA
kkkicrtparea|DBMS_RMIN_SYS.RM$_CRTPAREA
kkkiendsqlblk|DBMS_RMIN.RM$_END_SQLBLK
kkkiget_pdb_enabled|DBMS_RMIN_SYS.RM$_GET_PDB_ENABLED
kkkiprpriv|DBMS_RMIN.RM$_PROCESS_PRIV
kkkirunqdpstmt|DBMS_RMIN.RM$_RUN_QUEUED_PARALLEL_STMT
kkkisetinigrp|DBMS_RMIN.RM$_SET_INITIAL_GROUP_INT
kkkisubparea|DBMS_RMIN_SYS.RM$_SUBPAREA_EXT
kkkiswtchgrpssn|DBMS_RMIN_SYS.RM$_SWTCH_SESSION_GROUP_INT
kkkiswtchgrpusr|DBMS_RMIN_SYS.RM$_SWTCH_USR_GROUP_INT
kkkiswtchinvgrp|DBMS_SESSION.KKKISWTCHINVGRP SWITCH_CURRENT_CONSUMER_GROUP
kkkiupgrpmap|DBMS_RMIN.RM$_UP_CONSUMER_GROUP_MAPPINGS
kkkiverify_parea_act|DBMS_RMIN_SYS.RM$_VERIFY_PENDING_AREA_ACT
kkkiverify_parse_id|DBMS_RMIN_SYS.RM$_VERIFY_ID_PARSES
kkkiverify_privileges|DBMS_RMIN.RM$_VERIFY_PRIVILEGES
kkkiverify_rm_feature|DBMS_RMIN_SYS.RM$_VERIFY_RM_FEATURE
kkkiverify_root_pdb|DBMS_RMIN_SYS.RM$_IS_ROOT_PDB
kkkiverify_str_in|DBMS_RMIN_SYS.RM$_VERIFY_STR_IND_INT
kkkivldparea|DBMS_RMIN_SYS.RM$_VLDPAREA_EXT
kkm|SQL semantic analysis
kkmdel|extra semantic processes for deletes
kkmevw|expand view
kkmpost|post processing
kkmupd|extra semantic processing for update
kkn|analyze command
kkndgd|aNalyze Data Gathering Driver
kkndrv|aNalyze DRiVer
kknls|aNalyze Locks/Security
kknpat|partition analyze table
kknpob|partition object
kknls|locks/security
kko|optimizer
kkoOrExpand|or expansion
kkoads|ADS
kkoasj|add semi-join function
kkoat|auto tuning optimizer
kkocpjoinqb|copy and join query block
kkocpqb|copy query block
kkocri|create index
kkodp|AQP
kkoecp|evaluate constant predicate
kkogfp|get first permutation
kkoiqb|initialise query block
kkooqb|optimize query block
kkopm|plan management
kkopmCheckSmbUpdate|Check if updates to the Sql Management Base are pending
kkopq|parallel optimization
kkoqbc|query block optimization start point
kkoshd|shard sql
kkostran|star transformation
kkotap|table path
kkp|compilation 
kkpa|partitioning
kkpcrt|create
kkpo|partitioned objects
kkpod|partitioning dictionary
kkq|query 
kkqcby|connect by
kkqctdrv|cost based transformation driver
kkqctdrvIT|initiate cost based transformation
kkqctdrvTD|transformation directives
kkqdrv|transformatiosn driver
kkqgb|group by
kkqgbp|placement
kkqgbpColHasHighNDV|Column has high NDV
kkqgbpCheckPred|check validity of predicate
kkqgbpCheckValidity|check basic validity
kkqgbpdrv|driver
kkqgbptravChkTran|traverse, check and transfor
kkqctdrv|cost based transformation driver
kkqctdrvTD|transformation directives
kkqctdrvIT|initiate cost-based transformation
kkqctdrvTD|transformation directives
kkqdrv|query transformation driver
kkqdtdrvJPPD|cost-based query transformation - DRiVer for Join Pred push down
kkqj|join analysis
kkqjpdctr|join predicate push down - traverse and transform
kkqvm|view merging
kkr|rowsource
kkrba|bitmap index and 
kkrbc|bitmap index compaction
kkrbi|bitmap index creation
kkrbo|bitmap index or
kkrbt|bob dylan convertor
kkrbu|unlimited or
kkrbx|index access
kkrh|hash
kkri|parallel index create
kkrp|parallelizer (DFO)
kkrt|rowsource table create as select
kks|shared objects (cursor)
kksLoadChild|load child
kksParseCursor|parse cursor
kksalc|allocate compile time memory
kksald|auxiliary load function
kksalx|allocate bytes from the execution time heap
kksarm|authorize for remote
kksauc|authorized to use this child?
kksaxs|semantic analysis, authorize and audit
kkscls|close cursor, user is done with it
kkscs|child cursor
kksdopt|smart disk no option
kksfbc|find bound cursor
kksffr|free a frame
kksh|cursor hash table
kkslod|cursor load callback
kkslof|log off (?)
kkspfda|multiple context area management
kkspsc0|parse shared cursor
kkssbt|set bind types
kksscl|scan child list
kksumc|unmap shared cursor
kksvld|validate cursor
kksxCreate|DBMS_SQL_TRANSLATOR.CREATE_PROFILE
kksxDeregErrorTrans|DBMS_SQL_TRANSLATOR.DEREGISTER_ERROR_TRANSLATION
kksxDeregSQLTrans|DBMS_SQL_TRANSLATOR.DEREGISTER_SQL_TRANSLATION
kksxDrop|DBMS_SQL_TRANSLATOR.DROP_PROFILE
kksxEnableErrorTrans|DBMS_SQL_TRANSLATOR.ENABLE_ERROR_TRANSLATION
kksxEnableSQLTrans|DBMS_SQL_TRANSLATOR.ENABLE_SQL_TRANSLATION
kksxRegErrorTrans|DBMS_SQL_TRANSLATOR.REGISTER_ERROR_TRANSLATION
kksxRegSQLTrans|DBMS_SQL_TRANSLATOR.REGISTER_SQL_TRANSLATION
kksxResolve|DBMS_SQL_TRANSLATOR.RESOLVE_PROFILE
kksxSQLHash|DBMS_SQL_TRANSLATOR.SQL_HASH
kksxSQLID|DBMS_SQL_TRANSLATOR.SQL_ID
kksxSetAttribute|DBMS_SQL_TRANSLATOR.SET_ATTRIBUTE
kksxSetDictSQLID|DBMS_SQL_TRANSLATOR.SET_DICTIONARY_SQL_ID
kksxSetErrorTransCmt|DBMS_SQL_TRANSLATOR.SET_ERROR_TRANSLATION_COMMENT
kksxSetSQLTransCmt|DBMS_SQL_TRANSLATOR.SET_SQL_TRANSLATION_COMMENT
kksxSetSQLTransError|DBMS_SQL_TRANSLATOR.SET_SQL_TRANSLATION_ERROR
kksxSetSQLTransMod|DBMS_SQL_TRANSLATOR.SET_SQL_TRANSLATION_MODULE
kksxTranslateError|DBMS_SQL_TRANSLATOR.TRANSLATE_ERROR
kksxTranslateSQL|DBMS_SQL_TRANSLATOR.TRANSLATE_SQL
kkt|triggers
kktalt|alter trigger
kktf|polymorphic table functions
kktfICDCStoreExists|DBMS_TF.KKTFCSTORE_EXISTS CSTORE_EXISTS
kktfICDCStoreGetBol|DBMS_TF.KKTFICDCSTOREGETBOL CSTORE_GET
kktfICDCStoreGetChar|DBMS_TF.KKTFICDCSTOREGETVC2 CSTORE_GET
kktfICDCStoreGetDat|DBMS_TF.KKTFICDCSTOREGETDAT CSTORE_GET
kktfICDCStoreGetNum|DBMS_TF.KKTFICDCSTOREGETNUM CSTORE_GET
kktfICDGetPTFId|DBMS_TF.KKTF_ICD_GETPTF_ID GET_XID
kktfICDEnvGet|DBMS_TF.KKTF_ICD_ENV_GET GET_ENV
kktfICDEnvPX|DBMS_TF.KKTF_ICD_ENV_PX GET_ENV
kktfICDEnvProj|DBMS_TF.KKTF_ICD_ENV_PROJ GET_ENV
kktfICDEnvPut|DBMS_TF.KKTF_ICD_ENV_PUT GET_ENV
kktfICDEnvRCnt|DBMS_TF.KKTF_ICD_ENV_RCNT
kktfICDEnvSamp|DBMS_TF.KKTF_ICD_ENV_SAMP
kktfICDRRFix|DBMS_TF.KKTF_ICD_RR_FIX PUT_ROW_SET ROW_REPLICATION
kktfICDRRVar|DBMS_TF.KKTF_ICD_RR_VAR PUT_ROW_SET ROW_REPLICATION
kktfICDXStoreClear|DBMS_TF.KKTFXSTORE_CLEAR XSTORE_CLEAR
kktfICDXStoreExists|DBMS_TF.KKTFXSTORE_EXISTS XSTORE_EXISTS
kktfICDXStoreGetBol|DBMS_TF.KKTFICDXSTOREGETBOL XSTORE_GET
kktfICDXStoreGetChar|DBMS_TF.KKTFICDXSTOREGETVC2 XSTORE_GET
kktfICDXStoreGetDat|DBMS_TF.KKTFICDXSTOREGETDAT XSTORE_GET
kktfICDXStoreGetNum|DBMS_TF.KKTFICDXSTOREGETNUM XSTORE_GET
kktfICDXStoreRemove|DBMS_TF.KKTFXSTORE_REMOVE XSTORE_REMOVE
kktfICDXStoreSetBol|DBMS_TF.KKTFICDXSTORESETBOL XSTORE_SET
kktfICDXStoreSetChar|DBMS_TF.KKTFICDXSTORESETVC2 XSTORE_SET
kktfICDXStoreSetDat|DBMS_TF.KKTFICDXSTORESETDAT XSTORE_SET
kktfICDXStoreSetNum|DBMS_TF.KKTFICDXSTORESETNUM XSTORE_SET
kktficdcstoreallbol|DBMS_TF.KKTFICDSTOREALLBOL CSTORE_GET
kktficdcstoreallchr|DBMS_TF.KKTFICDSTOREALLCHR CSTORE_GET
kktficdcstorealldat|DBMS_TF.KKTFICDSTOREALLDAT CSTORE_GET
kktficdcstoreallnum|DBMS_TF.KKTFICDSTOREALLNUM CSTORE_GET
kktiddlt|DBMS_DDL_INTERNAL.IS_DDL_TRIGGER
kkx|Programmatic Interfaces to/from PL/SQL
kkxa|external/asynch RPC
kkxb|external tables
kkxcg1|DBMS_PREPROCESSOR.KKXCG1 GET_PP_SOURCE_LINES
kkxcg2|DBMS_PREPROCESSOR.KKXCG2 GET_PP_SOURCE_LINES
kkxcg3|DBMS_PREPROCESSOR.KKXCG3 GET_PP_SOURCE_LINES
kkxcls|close cursor
kkxcmp|compile (all compilation phases)
kkxerae|DBMS_OUTPUT.KKXERAE RAISE_APPLICATION_ERROR
kkxexe|execute plsql
kkxl|lob
kkxlcisopen|UTL_SYS_COMPRESS.ISOPEN
kkxlcomplzadd|UTL_SYS_COMPRESS.LZ_COMPRESS_ADD
kkxlcomplzclose|UTL_SYS_COMPRESS.LZ_COMPRESS_CLOSE
kkxlcomplzlob|UTL_SYS_COMPRESS.LZ_COMPRESS_BLOB LZ_COMPRESS_BFILE
kkxlcomplzopen|UTL_SYS_COMPRESS.LZ_COMPRESS_OPEN
kkxlcompulzextract|UTL_SYS_COMPRESS.LZ_EXTRACT
kkxlcompulzclose|UTL_SYS_COMPRESS.LZ_UNCOMPRESS_CLOSE
kkxlcompulzlob|UTL_SYS_COMPRESS.LZ_UNCOMPRESS_BLOB LZ_UNCOMPRESS_BFILE
kkxlcompulzopen|UTL_SYS_COMPRESS.LZ_UNCOMPRESS_OPEN
kkxlcpinit|UTL_SYS_COMPRESS.INITIALIZE_I
kkxlnu|DBMS_LOBUTIL
kkxlnugi|KKXLNU_GETINODE
kkxlnugl|KKXLNU_GETLOBMAP
kkxlnugd|KKXLNU_GETDEDUPSET
kkxlnucpprm|KKXLNU_CPPRMDEDUP
kkxlr|DBMS_LOB
kkxlr_append|KKXL_APPEND
kkxlr_close|KKXL_CLOSE
kkxlr_compare|KKXL_COMPORE
kkxlr_convertToBlob|KKXL_CONVERTTOBLOB
kkxlr_convertToClob|KKXL_CONVERTTOCLOB
kkxlr_copy|KKXL_COPY
kkxlr_erase|KKXL_ERASE
kkxlr_get_storage_limit|KKXL_GET_STORAGE_LIMIT
kkxlr_instr|KKXL_INSTR
kkxlr_open|KKXL_OPEN
kkxlr_read|KKXL_READ
kkxlr_substr|KKXL_SUBSTR
kkxlr_trim|KKXL_TRIM
kkxlr_write|KKXL_WRITE
kkxlr_writeappend|KKXL_WRITEAPPEND
kkxpfr|PGA free
kkxppp|private pipe
kkxrd|DBMS_ROWID
kkxrpc|rpc
kkxsem|semantic phase
kkxt|trigger
kkxtexe|trigger execute
kkxtgsv|DBMS_INTERNAL_TRIGGER.KKXTGSV GET_UGAKNT
kkxtilc|DBMS_INTERNAL_TRIGGER.KKXTILC INVALIDATE_LIBRARY_CACHE
kkxtmit|DBMS_INTERNAL_TRIGGER.KKXTMIT MAINTAIN_INTERNAL_TRIGGER
kkxtusv|DBMS_INTERNAL_TRIGGER.KKXTUSV SET_UGAKNT
kkxuexe|stub execute
kkxwtp|compiler
kky|system
kkyasy|alter system driver
kkziIsUserCreatedIdx|DBMS_REDEFINITION.IS_USER_CREATED
kkziSetAclmv|DBMS_SNAP_INTERNAL.SET_I_AM_AN_ACLMV
kkzi_is_XMLtab_Objrel|DBMS_REDEFINITION.IS_XMLTAB_OBJREL
kkzi_reg_idx_param|DBMS_REDEFINITION.REG_XMLIDX_PARAMSTR
kkzi_reg_idx_param|DBMS_REDEFINITION.IS_PARAM_NM_TAKEN
kkzi_test_dml_refresh_trigger|DBMS_REDEFINITION.TEST_DML_REFRESH_TRIGGER
kkzi_xmlidx_parmstr|DBMS_REDEFINITION.GET_XMLIDX_PARAMSTR
kkzi_xmlidx_sxtab|DBMS_REDEFINITION.GET_XMLIDX_SX_TAB
kkziacset|DBMS_IREFRESH.SET_AUTOCOMMIT
kkziaord|DBMS_REDEFINITION.ABORT_REDEF_INT
kkzibcrd|DBMS_SNAP_INTERNAL.KKZIBCRD CLEAR_DIRECTION
kkzibfqn|DBMS_SNAPSHOT_UTL.GET_FULLY_QUALIFIED_NAME
kkzibpkce|DBMS_SNAPSHOT_UTL.GET_PK_BY_EOID
kkzibponm|DBMS_SNAPSHOT_UTL.GET_OBJECT_NAME_INT
kkzibsrd|DBMS_SNAP_INTERNAL.KKZIBSRD SET_REDIRECTION
kkzibsu|DBMS_SNAPSHOT_UTL.SET_UP_INT
kkzibtbto|DBMS_SNAPSHOT_UTL.GET_TYPEINFO_BY_TOID
kkzibvl|DBMS_SNAPSHOT_UTL.VERIFY_LOG_INT
kkzibwu|DBMS_SNAPSHOT_UTL.WRAP_UP
kkzichkprivs|DBMS_REDEFINITION.CHECK_PRIVS
kkziciti|DBMS_SNAP_INTERNAL.KKZCITI VEC_COLS_IN_TABLE
kkzickusrpriv|DBMS_ISNAPSHOT.CHECK_USERPRIV
kkzicls|DBMS_SNAPSHOT_UTL.CLEANUP_SUBSCRIPTION
kkzicort|DBMS_REDEFINITION.CAN_REFEF_INT
kkzicp3g|DBMS_SNAPSHOT_KKXRCA.CHECK_PERMISSION_INTERNAL
kkzicptable_vdollar_basic|DBMS_REDEFINITION.COPY_TABLE_DEPENDENTS_VBASIC
kkzicptable_vdollar_prog|DBMS_REDEFINITION.COPY_TABLE_DEPENDENTS_VPROG
kkzicptable_vdollar_setb|DBMS_REDEFINITION.COPY_TABLE_DEPENDENTS_SETB
kkzicptable_vdollar_waitb|DBMS_REDEFINITION.COPY_TABLE_DEPENDENTS_WAITB
